Compound,Date,Negative,Neutral,News_Cast,Positive,Tweets Ago
0.0,2018-05-17 19:12:51+00:00,1.0,0.0,@CBS,0.0,132
0.5562,2018-05-17 13:00:00+00:00,0.854,0.0,@CBS,0.146,133
0.75,2018-05-17 00:00:00+00:00,0.758,0.0,@CBS,0.242,134
0.5574,2018-05-16 22:56:24+00:00,0.841,0.0,@CBS,0.159,135
0.3802,2018-05-16 22:56:24+00:00,0.89,0.0,@CBS,0.11,136
0.34,2018-05-16 22:56:23+00:00,0.888,0.0,@CBS,0.112,137
0.5859,2018-05-16 22:56:23+00:00,0.826,0.0,@CBS,0.174,138
0.8398,2018-05-16 22:56:23+00:00,0.6,0.0,@CBS,0.4,139
-0.4588,2018-05-16 22:56:23+00:00,0.577,0.26,@CBS,0.163,140
0.0,2018-05-16 22:56:22+00:00,1.0,0.0,@CBS,0.0,141
0.7777,2018-05-16 21:46:07+00:00,0.772,0.0,@CBS,0.228,142
0.296,2018-05-16 18:05:27+00:00,0.905,0.0,@CBS,0.095,143
0.6369,2018-05-16 13:52:57+00:00,0.766,0.0,@CBS,0.234,144
0.46,2018-05-16 13:24:14+00:00,0.857,0.0,@CBS,0.143,145
0.8122,2018-05-16 13:23:26+00:00,0.67,0.0,@CBS,0.33,146
-0.2057,2018-05-15 20:16:38+00:00,0.821,0.109,@CBS,0.07,147
0.4199,2018-05-14 20:59:11+00:00,0.859,0.0,@CBS,0.141,148
0.0,2018-05-14 18:17:23+00:00,1.0,0.0,@CBS,0.0,149
0.4939,2018-05-14 18:16:12+00:00,0.856,0.0,@CBS,0.144,150
-0.3612,2018-05-14 18:15:36+00:00,0.878,0.122,@CBS,0.0,151
0.6476,2018-05-14 18:15:08+00:00,0.674,0.082,@CBS,0.243,152
0.9081,2018-05-14 18:14:46+00:00,0.592,0.0,@CBS,0.408,153
-0.762,2018-05-14 18:14:22+00:00,0.586,0.303,@CBS,0.111,154
0.3612,2018-05-14 18:13:58+00:00,0.8,0.0,@CBS,0.2,155
-0.34,2018-05-14 14:42:00+00:00,0.604,0.264,@CBS,0.132,156
0.7351,2018-05-13 13:16:14+00:00,0.733,0.0,@CBS,0.267,157
0.7245,2018-05-11 23:00:40+00:00,0.748,0.0,@CBS,0.252,158
0.128,2018-05-11 20:55:08+00:00,0.791,0.09,@CBS,0.119,159
0.7263,2018-05-10 23:11:17+00:00,0.747,0.0,@CBS,0.253,160
-0.0772,2018-05-10 19:24:10+00:00,0.847,0.085,@CBS,0.069,161
0.6588,2018-05-10 18:03:26+00:00,0.722,0.0,@CBS,0.278,162
0.3182,2018-05-10 15:30:40+00:00,0.905,0.0,@CBS,0.095,163
0.8176,2018-05-09 21:35:00+00:00,0.667,0.0,@CBS,0.333,164
0.8395,2018-05-09 19:36:24+00:00,0.609,0.0,@CBS,0.391,165
-0.4599,2018-05-08 22:26:55+00:00,0.8,0.2,@CBS,0.0,166
0.4574,2018-05-08 19:55:32+00:00,0.85,0.0,@CBS,0.15,167
0.6597,2018-05-08 17:18:20+00:00,0.683,0.075,@CBS,0.242,168
0.0,2018-05-07 17:50:20+00:00,1.0,0.0,@CBS,0.0,169
0.5093,2018-05-04 21:00:00+00:00,0.87,0.0,@CBS,0.13,170
0.6996,2018-05-04 18:42:12+00:00,0.775,0.0,@CBS,0.225,171
0.5562,2018-05-04 14:48:42+00:00,0.736,0.0,@CBS,0.264,172
0.0,2018-05-02 19:04:01+00:00,1.0,0.0,@CBS,0.0,173
0.0,2018-05-01 23:10:50+00:00,1.0,0.0,@CBS,0.0,174
0.0,2018-05-01 17:58:51+00:00,1.0,0.0,@CBS,0.0,175
0.8268,2018-05-01 15:16:28+00:00,0.701,0.0,@CBS,0.299,176
0.8777,2018-04-30 22:54:18+00:00,0.627,0.0,@CBS,0.373,177
0.0,2018-04-30 13:28:01+00:00,1.0,0.0,@CBS,0.0,178
0.3818,2018-04-30 02:22:08+00:00,0.86,0.0,@CBS,0.14,179
0.8356,2018-04-29 15:30:00+00:00,0.67,0.0,@CBS,0.33,180
0.0,2018-04-26 23:40:24+00:00,1.0,0.0,@CBS,0.0,181
0.75,2018-04-25 21:48:49+00:00,0.687,0.0,@CBS,0.313,182
0.5719,2018-04-25 18:09:50+00:00,0.837,0.0,@CBS,0.163,183
0.6239,2018-04-25 16:55:33+00:00,0.779,0.0,@CBS,0.221,184
0.6696,2018-04-23 21:03:22+00:00,0.776,0.0,@CBS,0.224,185
0.4019,2018-04-22 16:00:03+00:00,0.863,0.0,@CBS,0.137,186
-0.4019,2018-04-20 22:00:01+00:00,0.895,0.105,@CBS,0.0,187
0.0,2018-04-20 17:34:37+00:00,1.0,0.0,@CBS,0.0,188
0.0,2018-04-19 20:00:00+00:00,1.0,0.0,@CBS,0.0,189
0.4877,2018-04-19 19:00:02+00:00,0.826,0.0,@CBS,0.174,190
0.4939,2018-04-19 17:08:44+00:00,0.868,0.0,@CBS,0.132,191
0.4199,2018-04-18 21:00:01+00:00,0.872,0.0,@CBS,0.128,192
0.8539,2018-04-18 18:57:45+00:00,0.645,0.0,@CBS,0.355,193
0.5994,2018-04-18 17:00:03+00:00,0.804,0.0,@CBS,0.196,194
0.2284,2018-04-18 15:14:39+00:00,0.718,0.122,@CBS,0.16,195
0.0,2018-04-18 15:10:34+00:00,1.0,0.0,@CBS,0.0,196
0.0,2018-04-17 00:26:33+00:00,1.0,0.0,@CBS,0.0,197
0.0,2018-04-16 23:00:02+00:00,1.0,0.0,@CBS,0.0,198
0.0,2018-04-16 17:00:04+00:00,1.0,0.0,@CBS,0.0,199
0.2714,2018-04-16 16:02:49+00:00,0.806,0.071,@CBS,0.123,200
0.0,2018-06-10 00:30:08+00:00,1.0,0.0,@CNN,0.0,201
-0.6901,2018-06-10 00:03:12+00:00,0.738,0.262,@CNN,0.0,202
0.6124,2018-06-10 00:00:04+00:00,0.762,0.0,@CNN,0.238,203
-0.5994,2018-06-09 23:30:13+00:00,0.849,0.151,@CNN,0.0,204
-0.296,2018-06-09 23:00:05+00:00,0.824,0.176,@CNN,0.0,205
0.8176,2018-06-09 22:58:33+00:00,0.681,0.0,@CNN,0.319,206
0.765,2018-06-09 22:30:05+00:00,0.526,0.145,@CNN,0.329,207
0.5859,2018-06-09 22:15:00+00:00,0.703,0.074,@CNN,0.223,208
-0.6486,2018-06-09 22:00:13+00:00,0.782,0.218,@CNN,0.0,209
0.2732,2018-06-09 21:53:00+00:00,0.9,0.0,@CNN,0.1,210
-0.5574,2018-06-09 21:45:05+00:00,0.841,0.159,@CNN,0.0,211
-0.296,2018-06-09 21:37:48+00:00,0.885,0.115,@CNN,0.0,212
0.5927,2018-06-09 21:10:05+00:00,0.815,0.0,@CNN,0.185,213
-0.1027,2018-06-09 21:00:06+00:00,0.928,0.072,@CNN,0.0,214
0.0,2018-06-09 20:50:07+00:00,1.0,0.0,@CNN,0.0,215
-0.4767,2018-06-09 20:40:09+00:00,0.846,0.154,@CNN,0.0,216
0.0,2018-06-09 20:30:08+00:00,1.0,0.0,@CNN,0.0,217
0.6705,2018-06-09 20:20:24+00:00,0.618,0.085,@CNN,0.297,218
0.6486,2018-06-09 20:10:07+00:00,0.762,0.0,@CNN,0.238,219
0.0,2018-06-09 20:00:09+00:00,1.0,0.0,@CNN,0.0,220
0.539,2018-06-09 19:50:34+00:00,0.852,0.0,@CNN,0.148,221
0.5859,2018-06-09 19:40:00+00:00,0.847,0.0,@CNN,0.153,222
0.3612,2018-06-09 19:30:00+00:00,0.878,0.0,@CNN,0.122,223
-0.7269,2018-06-09 19:20:09+00:00,0.681,0.319,@CNN,0.0,224
-0.6486,2018-06-09 19:17:02+00:00,0.782,0.218,@CNN,0.0,225
-0.7506,2018-06-09 19:10:07+00:00,0.726,0.274,@CNN,0.0,226
0.0,2018-06-09 19:00:08+00:00,1.0,0.0,@CNN,0.0,227
0.3291,2018-06-09 18:50:01+00:00,0.907,0.0,@CNN,0.093,228
0.0,2018-06-09 18:40:00+00:00,1.0,0.0,@CNN,0.0,229
0.0,2018-06-09 18:30:14+00:00,1.0,0.0,@CNN,0.0,230
0.4215,2018-06-09 18:20:06+00:00,0.882,0.0,@CNN,0.118,231
0.4215,2018-06-09 18:10:00+00:00,0.781,0.0,@CNN,0.219,232
0.765,2018-06-09 18:00:06+00:00,0.526,0.145,@CNN,0.329,233
0.0,2018-06-09 17:50:06+00:00,1.0,0.0,@CNN,0.0,234
0.0,2018-06-09 17:40:05+00:00,1.0,0.0,@CNN,0.0,235
0.0,2018-06-09 17:27:05+00:00,1.0,0.0,@CNN,0.0,236
0.2732,2018-06-09 17:18:43+00:00,0.514,0.221,@CNN,0.265,237
-0.4019,2018-06-09 16:59:35+00:00,0.881,0.119,@CNN,0.0,238
-0.7506,2018-06-09 16:47:11+00:00,0.67,0.33,@CNN,0.0,239
-0.5994,2018-06-09 16:36:04+00:00,0.849,0.151,@CNN,0.0,240
0.4404,2018-06-09 16:26:06+00:00,0.868,0.0,@CNN,0.132,241
0.7717,2018-06-09 16:14:06+00:00,0.749,0.0,@CNN,0.251,242
0.0,2018-06-09 16:00:03+00:00,1.0,0.0,@CNN,0.0,243
0.2023,2018-06-09 15:50:29+00:00,0.913,0.0,@CNN,0.087,244
0.1779,2018-06-09 15:38:05+00:00,0.773,0.097,@CNN,0.13,245
-0.296,2018-06-09 15:27:34+00:00,0.824,0.176,@CNN,0.0,246
0.0,2018-06-09 15:13:56+00:00,1.0,0.0,@CNN,0.0,247
-0.4585,2018-06-09 14:57:06+00:00,0.813,0.187,@CNN,0.0,248
-0.0772,2018-06-09 14:43:08+00:00,0.933,0.067,@CNN,0.0,249
0.6597,2018-06-09 14:36:51+00:00,0.822,0.0,@CNN,0.178,250
0.2732,2018-06-09 14:30:03+00:00,0.884,0.0,@CNN,0.116,251
0.539,2018-06-09 14:24:10+00:00,0.852,0.0,@CNN,0.148,252
-0.3412,2018-06-09 14:20:07+00:00,0.789,0.211,@CNN,0.0,253
0.5574,2018-06-09 14:18:20+00:00,0.813,0.0,@CNN,0.187,254
0.0,2018-06-09 14:16:21+00:00,1.0,0.0,@CNN,0.0,255
0.0,2018-06-09 14:09:49+00:00,1.0,0.0,@CNN,0.0,256
0.34,2018-06-09 14:01:04+00:00,0.888,0.0,@CNN,0.112,257
-0.3818,2018-06-09 13:46:07+00:00,0.833,0.167,@CNN,0.0,258
0.0,2018-06-09 13:31:03+00:00,1.0,0.0,@CNN,0.0,259
0.5719,2018-06-09 13:26:05+00:00,0.829,0.0,@CNN,0.171,260
0.5859,2018-06-09 13:16:00+00:00,0.847,0.0,@CNN,0.153,261
0.0,2018-06-09 13:01:05+00:00,1.0,0.0,@CNN,0.0,262
0.0,2018-06-09 12:53:19+00:00,0.763,0.119,@CNN,0.119,263
0.6124,2018-06-09 12:46:08+00:00,0.762,0.0,@CNN,0.238,264
0.3818,2018-06-09 12:31:06+00:00,0.698,0.0,@CNN,0.302,265
0.4939,2018-06-09 12:16:00+00:00,0.856,0.0,@CNN,0.144,266
0.4576,2018-06-09 12:01:03+00:00,0.786,0.0,@CNN,0.214,267
-0.5994,2018-06-09 11:52:04+00:00,0.849,0.151,@CNN,0.0,268
0.0,2018-06-09 11:46:00+00:00,1.0,0.0,@CNN,0.0,269
-0.296,2018-06-09 11:31:05+00:00,0.824,0.176,@CNN,0.0,270
0.3612,2018-06-09 11:16:00+00:00,0.878,0.0,@CNN,0.122,271
0.765,2018-06-09 11:01:06+00:00,0.526,0.145,@CNN,0.329,272
-0.4588,2018-06-09 10:31:49+00:00,0.857,0.143,@CNN,0.0,273
0.0,2018-06-09 10:16:00+00:00,1.0,0.0,@CNN,0.0,274
0.0,2018-06-09 10:01:03+00:00,1.0,0.0,@CNN,0.0,275
0.0,2018-06-09 09:31:04+00:00,1.0,0.0,@CNN,0.0,276
0.4019,2018-06-09 09:29:10+00:00,0.87,0.0,@CNN,0.13,277
0.5859,2018-06-09 09:16:00+00:00,0.703,0.074,@CNN,0.223,278
0.0,2018-06-09 09:01:21+00:00,1.0,0.0,@CNN,0.0,279
0.0,2018-06-09 08:31:08+00:00,1.0,0.0,@CNN,0.0,280
-0.6124,2018-06-09 08:29:13+00:00,0.762,0.238,@CNN,0.0,281
0.6369,2018-06-09 08:16:00+00:00,0.794,0.0,@CNN,0.206,282
0.3612,2018-06-09 08:05:06+00:00,0.751,0.089,@CNN,0.16,283
0.0,2018-06-09 08:01:09+00:00,1.0,0.0,@CNN,0.0,284
0.2732,2018-06-09 07:46:00+00:00,0.9,0.0,@CNN,0.1,285
0.0,2018-06-09 07:31:08+00:00,1.0,0.0,@CNN,0.0,286
0.0,2018-06-09 07:16:00+00:00,1.0,0.0,@CNN,0.0,287
-0.2732,2018-06-09 07:01:07+00:00,0.896,0.104,@CNN,0.0,288
0.0,2018-06-09 06:46:00+00:00,1.0,0.0,@CNN,0.0,289
0.0,2018-06-09 06:31:07+00:00,1.0,0.0,@CNN,0.0,290
0.2263,2018-06-09 06:16:00+00:00,0.894,0.0,@CNN,0.106,291
0.0,2018-06-09 06:01:07+00:00,1.0,0.0,@CNN,0.0,292
0.8519,2018-06-09 05:46:00+00:00,0.646,0.0,@CNN,0.354,293
0.7351,2018-06-09 05:16:00+00:00,0.677,0.0,@CNN,0.323,294
0.0258,2018-06-09 05:01:04+00:00,0.942,0.0,@CNN,0.058,295
0.4215,2018-06-09 04:46:00+00:00,0.781,0.0,@CNN,0.219,296
-0.3597,2018-06-09 04:31:04+00:00,0.773,0.146,@CNN,0.082,297
0.0,2018-06-09 04:16:00+00:00,1.0,0.0,@CNN,0.0,298
0.0,2018-06-09 04:01:07+00:00,1.0,0.0,@CNN,0.0,299
0.5859,2018-06-09 03:46:00+00:00,0.847,0.0,@CNN,0.153,300
0.4939,2018-06-09 11:32:40+00:00,0.656,0.107,@Fox,0.238,301
0.4767,2018-06-09 10:36:55+00:00,0.773,0.0,@Fox,0.227,302
-0.0258,2018-06-09 10:09:44+00:00,0.757,0.143,@Fox,0.1,303
0.4404,2018-06-08 19:36:53+00:00,0.513,0.162,@Fox,0.325,304
-0.188,2018-06-08 19:35:39+00:00,0.758,0.137,@Fox,0.105,305
-0.4939,2018-06-08 19:29:48+00:00,0.846,0.154,@Fox,0.0,306
0.2732,2018-06-08 18:28:26+00:00,0.804,0.07,@Fox,0.126,307
0.0,2018-06-08 18:23:36+00:00,1.0,0.0,@Fox,0.0,308
0.0,2018-06-08 16:54:52+00:00,1.0,0.0,@Fox,0.0,309
-0.3818,2018-06-08 13:11:00+00:00,0.476,0.289,@Fox,0.235,310
0.128,2018-06-08 13:00:15+00:00,0.756,0.096,@Fox,0.148,311
0.4196,2018-06-08 12:43:15+00:00,0.642,0.103,@Fox,0.255,312
0.6908,2018-06-08 12:14:07+00:00,0.711,0.0,@Fox,0.289,313
-0.4215,2018-06-08 12:07:07+00:00,0.783,0.136,@Fox,0.081,314
-0.6124,2018-06-08 11:43:32+00:00,0.792,0.208,@Fox,0.0,315
0.8519,2018-06-08 10:43:28+00:00,0.505,0.101,@Fox,0.394,316
0.7964,2018-06-08 10:23:54+00:00,0.664,0.0,@Fox,0.336,317
0.7845,2018-06-08 10:14:06+00:00,0.576,0.07,@Fox,0.354,318
0.6588,2018-06-08 09:09:38+00:00,0.774,0.0,@Fox,0.226,319
0.0,2018-06-08 08:57:01+00:00,1.0,0.0,@Fox,0.0,320
0.5423,2018-06-08 08:48:59+00:00,0.836,0.0,@Fox,0.164,321
0.2235,2018-06-08 07:55:05+00:00,0.841,0.0,@Fox,0.159,322
